,Start,Exp,High,Low,Open,Close,Volume,HiLo,OpenClose,OpenHi,OpenLo,OpenFar
0,20181220,20190116,9817,9305,9748,9795,3041334,512,47,69,-443,-443
1,20181220,20190220,10262,9305,9748,10179,5386340,957,431,514,-443,514
2,20190221,20190320,10553,10149,10257,10511,2232663,404,254,296,-108,296
3,20190321,20190417,11010,10420,10521,10951,2190974,590,430,489,-101,489
4,20190418,20190515,11138,10376,10993,10553,3130866,762,-440,145,-617,-617
5,20190516,20190619,10800,10218,10582,10658,3552553,582,76,218,-364,-364
6,20190620,20190717,10892,10202,10572,10852,2334292,690,280,320,-370,-370
7,20190718,20190821,10836,10095,10667,10497,3511570,741,-170,169,-572,-572
8,20190822,20190918,10963,10260,10496,10910,2247881,703,414,467,-236,467
9,20190919,20191016,11171,10768,10898,11169,2024699,403,271,273,-130,273
10,20191017,20191120,11682,11117,11131,11628,2762684,565,497,551,-14,551
11,20191121,20191218,12129,11424,11592,12078,2541040,705,486,537,-168,537
12,20191219,20200115,12199,11697,12080,12175,2388939,502,95,119,-383,-383
13,20200116,20200219,12160,11152,12067,11639,3074663,1008,-428,93,-915,-915
14,20200220,20200318,11830,9073,11762,9470,5868841,2757,-2292,68,-2689,-2689
15,20200319,20200415,10463,8268,8788,10389,4562504,2195,1601,1675,-520,1675
16,20200416,20200520,11038,10061,10315,10867,4094567,977,552,723,-254,723
17,20200521,20200617,11746,10651,10851,11499,3205493,1095,648,895,-200,895
18,20200618,20200715,12323,11295,11385,12262,2704541,1028,877,938,-90,938
19,20200716,20200819,13029,11903,12062,12903,4291898,1126,841,967,-159,967
20,20200820,20200916,13018,12067,12741,12946,3404167,951,205,277,-674,-674
21,20200917,20201021,12995,12050,12909,12878,3316342,945,-31,86,-859,-859
22,20201022,20201118,13788,12370,12820,13646,2952027,1418,826,968,-450,968
23,20201119,20201216,14425,13640,13708,14202,2946799,785,494,717,-68,717
24,20201217,20210120,16061,14006,14192,15870,4198994,2055,1678,1869,-186,1869
25,20210121,20210217,16433,15037,15759,15810,3029005,1396,51,674,-722,-722
26,20210218,20210317,16564,15570,16349,16325,3971135,994,-24,215,-779,-779
27,20210318,20210421,17329,15857,16160,17239,3590177,1472,1079,1169,-303,1169
28,20210422,20210519,17702,15027,17151,16163,4577233,2675,-988,551,-2124,-2124
29,20210520,20210616,17433,15845,16006,17329,3237401,1588,1323,1427,-161,1427
30,20210617,20210721,18046,16891,17257,17651,3737667,1155,394,789,-366,789
31,20210722,20210818,17588,16313,17299,16388,3175382,1275,-911,289,-986,-986
32,20210819,20210915,17596,16050,16692,17458,2162840,1546,766,904,-642,904
33,,20211020,0,99999,0,0,0,-99999,0,0,99999,0
34,,20211117,0,99999,0,0,0,-99999,0,0,99999,0
35,,20211215,0,99999,0,0,0,-99999,0,0,99999,0
36,,20220119,0,99999,0,0,0,-99999,0,0,99999,0
